host_id_x,neighbourhood,latitude_x,longitude_x,room_type_x,price_x,number_of_reviews_x,reviews_per_month_x,availability_365_x,accommodates,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,review_scores_rating,instant_bookable
263254.0,XIII Aurelia,41.89482,12.45292,Entire home/apt,140.0,429.0,2.9,259.0,2.0,within an hour,100.0,100.0,1.0,4.94,0.0
947717.0,VII San Giovanni/Cinecittà,41.85941,12.55918,Private room,40.0,7.0,0.05,218.0,2.0,within a few hours,96.0,100.0,0.0,4.29,1.0
380607.0,I Centro Storico,41.8997885,12.4708188,Entire home/apt,230.0,236.0,1.57,311.0,3.0,within an hour,100.0,100.0,1.0,4.72,1.0
401637.0,I Centro Storico,41.897308,12.504276,Entire home/apt,180.0,38.0,0.26,325.0,9.0,within a day,60.0,68.0,0.0,4.42,0.0
491169.0,I Centro Storico,41.90982,12.45652,Entire home/apt,107.0,225.0,1.49,208.0,4.0,within an hour,100.0,97.0,1.0,4.9,0.0
486866.0,I Centro Storico,41.89242,12.47874,Entire home/apt,243.0,109.0,0.77,222.0,4.0,within an hour,100.0,83.0,0.0,4.41,1.0
492474.0,II Parioli/Nomentano,41.91736,12.49732,Private room,50.0,45.0,0.31,205.0,2.0,within an hour,100.0,97.0,1.0,4.82,0.0
1000556.0,I Centro Storico,41.90315,12.50487,Private room,100.0,10.0,0.07,357.0,2.0,within a day,100.0,0.0,0.0,4.17,0.0
229246.0,V Prenestino/Centocelle,41.89505,12.54556,Private room,93.0,49.0,0.36,0.0,4.0,0.4,100.0,99.4,0.0,4.65,1.0
1013633.0,I Centro Storico,41.9079,12.45206,Entire home/apt,160.0,35.0,0.24,245.0,4.0,0.2,100.0,100.0,0.0,4.91,0.0
248295.0,I Centro Storico,41.89559,12.4726,Entire home/apt,180.0,167.0,1.12,143.0,2.0,within an hour,100.0,99.0,1.0,4.63,1.0
503401.0,I Centro Storico,41.91299,12.45304,Entire home/apt,99.0,171.0,1.14,133.0,4.0,within an hour,100.0,98.0,0.0,4.72,0.0
508116.0,I Centro Storico,41.90235,12.49102,Private room,147.0,571.0,3.79,319.0,3.0,within an hour,100.0,99.0,0.0,4.51,1.0
1029076.0,X Ostia/Acilia,41.73271,12.26888,Entire home/apt,80.0,13.0,0.11,330.0,6.0,within a few hours,75.0,30.0,0.0,4.38,0.0
511552.0,I Centro Storico,41.8923,12.49128,Entire home/apt,200.0,160.0,1.07,283.0,2.0,within a few hours,100.0,100.0,1.0,4.91,0.0
1038242.0,XIV Monte Mario,41.91254,12.4127,Entire home/apt,45.0,21.0,0.35,0.0,4.0,within a few hours,94.0,45.6,0.0,4.81,1.0
77932.0,XIII Aurelia,41.89688,12.45695,Entire home/apt,231.0,145.0,0.97,11.0,7.0,within an hour,100.0,100.0,1.0,4.79,0.0
524498.0,XII Monte Verde,41.87233352661133,12.456809997558594,Entire home/apt,128.0,32.0,0.23,317.0,8.0,within an hour,100.0,97.0,0.0,4.27,1.0
1122123.0,VII San Giovanni/Cinecittà,41.84545,12.60541,Private room,26.0,42.0,0.31,249.0,1.0,a few days or more,0.0,33.0,0.0,4.73,0.0
533391.0,VI Roma delle Torri,41.91638,12.68366,Entire home/apt,55.0,32.0,0.38,0.0,4.0,0.8,83.2,69.2,0.0,4.78,1.0
1142822.0,I Centro Storico,41.89751,12.49663,Private room,54.0,314.0,2.16,36.0,2.0,0.4,100.0,89.8,0.0,4.88,0.0
1142822.0,I Centro Storico,41.89739,12.49652,Private room,54.0,202.0,1.51,0.0,2.0,0.4,100.0,89.8,0.0,4.88,0.0
1142822.0,I Centro Storico,41.89598,12.49509,Private room,54.0,222.0,1.67,0.0,3.0,0.4,100.0,89.8,0.0,4.89,0.0
536398.0,X Ostia/Acilia,41.72569,12.28699,Entire home/apt,180.0,13.0,0.2,330.0,9.0,within a day,58.0,23.0,0.0,4.23,0.0
537257.0,II Parioli/Nomentano,41.92735,12.50915,Private room,170.0,15.0,0.1,6.0,1.0,0.8,83.2,100.0,0.0,4.86,1.0
21173109.0,IX Eur,41.83741,12.46306,Entire home/apt,96.0,302.0,2.16,303.0,4.0,within a day,100.0,93.0,0.0,4.68,1.0
363053.0,I Centro Storico,41.89556,12.49303,Entire home/apt,115.0,58.0,0.43,190.0,3.0,within an hour,100.0,96.0,1.0,4.63,0.0
